Country,Pork,Poultry,Beef,Lamb & Goat,Fish,Eggs,Milk - inc. cheese,Wheat and Wheat Products,Rice,Soybeans,Nuts inc. Peanut Butter
Philippines,65.13,12.79,125.28,19.610000000000007,45.52,3.69,22.31,4.41,152.85000000000005,0.01,3.68
Ghana,4.81,9.27,33.64,60.93,41.59,1.11,12.93,2.76,40.99,0.0,9.84
Togo,5.56,7.119999999999999,47.21,55.33,18.67,0.7899999999999999,11.34,2.46,33.260000000000005,0.0,6.35
Gambia,0.64,2.86,66.64999999999999,24.86,36.93,0.91,65.11,7.23,79.14,0.0,9.33
India,0.99,2.02,24.99,20.31,7.52,2.37,120.36,11.55,88.93,0.18,3.4
Thailand,46.01,14.71,79.0,1.75,31.06,11.34,41.81,2.08,146.62,0.96,2.66
Mozambique,18.16,1.51,32.09,31.52,12.36,1.56,6.8199999999999985,2.79,29.96,0.01,4.619999999999999
Cambodia,23.08,1.98,149.66,0.0,63.21,1.26,4.94,0.52,203.6,1.95,2.21
Sierra Leone,4.3199999999999985,5.34,61.41,22.76,51.14,1.76,9.97,1.66,132.19,0.0,9.86
Sri Lanka,0.18,5.33,42.58,3.15,39.790000000000006,4.2,49.83,7.06,140.41,0.0,1.93
Indonesia,10.55,8.06,79.92,16.110000000000007,40.95,4.48,21.110000000000007,4.85,172.26999999999995,0.5,8.709999999999999
Liberia,14.19,9.57,24.07,16.810000000000002,6.59,1.88,4.33,2.09,121.25,0.28,2.32
Bangladesh,0.0,1.5,39.5,46.58,28.85,1.91,31.21,3.33,219.76,0.27,1.27
